index_col,Company,TypeName,Inches,screen_size,resolution_width,resolution_height,ips_panel,touchscreen,cpu_brand,cpu_name,cpu_speed,Ram,memory_type,primary_storage,secondary_storage,gpu_brand,OpSys,Weight,price,ppi
13,Dell,Gaming,15.6,medium,1920,1080,0,0,Intel,Core i5,2.5,8,SSD,256,0,Nvidia,windows,2.56,4121.304,141
14,HP,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i5,2.5,8,SSD,256,0,Intel,N/A,1.86,2695.968,141
15,MSI,Gaming,17.3,large,1920,1080,0,0,Intel,Core i7,2.8,16,Hybrid,256,1024,Nvidia,windows,2.8,8861.512,127
16,Lenovo,2 in 1 Convertible,13.9,small,1920,1080,1,1,Intel,Core i7,2.7,8,SSD,256,0,Intel,windows,1.38,5059.032,158
17,HP,Ultrabook,14,medium,1920,1080,0,0,Intel,Core i5,2.7,4,SSD,256,0,Intel,windows,1.48,5073.112,157
18,Apple,Ultrabook,15.4,medium,2880,1800,1,0,Intel,Core i7,2.7,16,SSD,512,0,AMD,macos,1.83,11897.16,221
19,HP,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i5,1.6,6,SSD,256,0,AMD,windows,1.91,2902.24,141
20,Lenovo,2 in 1 Convertible,14,medium,1920,1080,1,1,Intel,Core i3,2.4,4,SSD,256,0,Intel,windows,1.74,2949.144,157
21,Dell,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i7,1.8,8,Hybrid,128,2048,AMD,windows,2.2,4618.328,141
22,Asus,2 in 1 Convertible,13.3,small,1920,1080,0,1,Intel,Core i5,1.6,8,SSD,256,0,Intel,windows,1.1,6165.544,166
23,Apple,Ultrabook,13.3,small,2560,1600,1,0,Intel,Core i5,3.1,8,SSD,256,0,Intel,macos,1.37,8456.448,227
24,HP,Notebook,15.6,medium,1920,1080,0,0,AMD,A6-Series 9220,2.5,4,SSD,256,0,AMD,windows,1.86,1868.416,141
25,HP,Notebook,15.6,medium,1366,768,0,1,Intel,Core i5,2.5,8,HDD,1024,0,Intel,windows,2.04,2620.992,100
26,Asus,Gaming,17.3,large,1920,1080,0,0,Intel,Core i7,2.9,16,SSD,256,0,Nvidia,windows,3.6,14061.256,127
27,HP,Notebook,13.3,small,1920,1080,0,0,Intel,Core i7,1.8,8,SSD,512,0,Intel,windows,1.49,5171.584,166
28,HP,Notebook,13.3,small,1920,1080,1,0,Intel,Core i5,1.6,4,HDD,500,0,Intel,windows,1.49,3164.832,166
29,Acer,Notebook,15.6,medium,1366,768,0,0,AMD,A9-Series 9420,3,4,HDD,500,0,AMD,windows,2.1,1875.456,100
30,Apple,Ultrabook,15.4,medium,2880,1800,1,0,Intel,Core i7,2.2,16,Flash Storage,256,0,Intel,macos,2.04,10033.584,221
31,Apple,Ultrabook,13.3,small,2560,1600,1,0,Intel,Core i5,3.1,8,SSD,512,0,Intel,macos,1.37,9564.808,227
32,Dell,2 in 1 Convertible,15.6,medium,1920,1080,1,1,Intel,Core i7,1.8,8,HDD,1024,0,Intel,windows,2.08,3839.968,141
33,Apple,Ultrabook,13.3,small,1440,900,0,0,Intel,Core i5,1.8,8,Flash Storage,256,0,Intel,macos,1.34,5432.768,128
34,Asus,Gaming,17.3,large,1920,1080,0,0,Intel,Core i7,2.8,16,Hybrid,256,1024,Nvidia,windows,4.3,8434.888,127
35,Acer,Notebook,15.6,medium,1366,768,0,0,Intel,Core i3,2.4,4,HDD,1024,0,Intel,windows,2.4,1800.48,100
36,Asus,Ultrabook,14,medium,1920,1080,0,0,Intel,Core i7,1.8,16,SSD,512,0,Nvidia,windows,1.3,7009.552,157
37,Acer,Ultrabook,14,medium,1920,1080,1,0,Intel,Core i5,1.6,8,SSD,256,0,Intel,windows,1.6,3610.288,157
38,Dell,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i7,1.8,8,SSD,256,0,AMD,windows,2.13,3599.904,141
39,HP,Notebook,15.6,medium,1366,768,0,0,Intel,Core i5,2.5,4,HDD,500,0,Intel,N/A,1.86,1846.856,100
40,HP,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i3,2,4,SSD,128,0,Intel,windows,1.91,2058.32,141
41,Asus,Notebook,15.6,medium,1366,768,0,0,Intel,Core i5,2.5,4,SSD,256,0,Intel,windows,2,2748.416,100
42,Dell,2 in 1 Convertible,15.6,medium,1920,1080,0,1,Intel,Core i7,1.8,8,SSD,256,0,Intel,windows,1.56,4918.408,141
43,MSI,Gaming,17.3,large,1920,1080,0,0,Intel,Core i7,2.8,16,Hybrid,256,2048,Nvidia,windows,2.43,11482.504,127
44,Toshiba,Notebook,15.6,medium,1366,768,0,0,Intel,Core i3,2.2,4,HDD,500,0,Intel,windows,2.1,2095.808,100
45,Asus,Notebook,15.6,medium,1366,768,0,0,AMD,A9-Series 9420,3,4,HDD,1024,0,AMD,windows,2.03,1889.536,100
46,Asus,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i3,2,4,SSD,256,0,Intel,linux,2,1945.768,141
47,Acer,Notebook,17.3,large,1920,1080,1,0,Intel,Core i5,1.6,4,SSD,256,0,Nvidia,windows,3,3774.32,127
48,Dell,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i5,1.6,8,SSD,256,0,AMD,windows,2.13,3413.344,141
49,Dell,Notebook,17.3,large,1920,1080,0,0,Intel,Core i7,1.8,16,Hybrid,256,2048,AMD,windows,2.8,6090.568,127
50,Lenovo,Gaming,15.6,medium,1920,1080,1,0,Intel,Core i7,2.8,16,SSD,256,0,Nvidia,windows,2.5,5059.032,141
51,Acer,Notebook,15.6,medium,1366,768,0,0,Intel,Celeron Dual,1.1,4,HDD,1024,0,Intel,windows,2.1,1631.608,100
52,MSI,Gaming,15.6,medium,1920,1080,1,0,Intel,Core i7,2.8,16,Hybrid,256,1024,Nvidia,windows,2.4,8434.888,141
53,Acer,Notebook,15.6,medium,1366,768,0,0,Intel,Pentium Quad,1.1,4,HDD,1024,0,Intel,windows,2.1,1704.384,100
54,Dell,Gaming,15.6,medium,1920,1080,0,0,Intel,Core i7,2.8,8,Hybrid,128,1024,Nvidia,windows,2.56,4972.264,141
55,Acer,Notebook,17.3,large,1920,1080,1,0,Intel,Core i5,1.6,8,SSD,256,0,Nvidia,windows,3,4004.088,127
56,HP,Notebook,13.3,small,1920,1080,1,0,Intel,Core i5,1.6,4,HDD,500,0,Intel,windows,1.49,3535.224,166
57,Asus,Notebook,15.6,medium,1366,768,0,0,AMD,A9-Series 9420,3,4,HDD,1024,0,AMD,windows,1.68,2198.944,100
58,Huawei,Ultrabook,13,small,2160,1440,1,0,Intel,Core i5,2.5,8,SSD,256,0,Intel,windows,1.05,6325,200
59,HP,Notebook,17.3,large,1920,1080,1,0,Intel,Core i5,2.5,6,HDD,2048,0,AMD,windows,2.71,3277.384,127
60,Lenovo,2 in 1 Convertible,13.9,small,1920,1080,1,1,Intel,Core i7,1.8,8,SSD,512,0,Intel,windows,1.37,8669.32,158
61,Lenovo,Notebook,15.6,medium,1366,768,0,0,AMD,A6-Series 9220,2.9,4,HDD,500,0,AMD,N/A,2.2,1448.832,100
62,Toshiba,Notebook,15.6,medium,1366,768,0,0,Intel,Core i3,2.4,4,HDD,500,0,Intel,windows,5.4,2292.752,100
63,Acer,Notebook,17.3,large,1920,1080,1,0,Intel,Core i3,2.7,4,SSD,256,0,Nvidia,windows,3,3291.464,127
64,HP,Notebook,17.3,large,1920,1080,0,0,Intel,Core i5,1.6,8,SSD,256,0,Nvidia,windows,2.5,4327.576,127
65,Dell,Ultrabook,13.3,small,1920,1080,0,0,Intel,Core i5,1.6,8,SSD,256,0,Intel,windows,1.41,4449.544,166
66,HP,Notebook,15.6,medium,1366,768,0,0,AMD,A6-Series A6-9220,2.5,8,SSD,128,0,AMD,windows,1.91,2090.704,100
67,Dell,Notebook,15.6,medium,1366,768,0,0,Intel,Core i3,2.4,8,HDD,1024,0,Intel,windows,2.3,2152.128,100
68,HP,Notebook,17.3,large,1920,1080,1,0,Intel,Core i7,1.8,16,HDD,1024,0,Nvidia,windows,2.9,4965.312,127
69,Acer,Notebook,15.6,medium,1366,768,0,0,Intel,Core i3,2,4,SSD,128,0,Intel,windows,2.1,2105.224,100
70,MSI,Gaming,18.4,large,1920,1080,0,0,Intel,Core i7,2.9,32,Hybrid,512,1024,Nvidia,windows,4.4,13123.528,120
71,MSI,Gaming,17.3,large,1920,1080,0,0,Intel,Core i7,2.8,16,Hybrid,512,1024,Nvidia,windows,4.14,11716.936,127
72,Lenovo,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i5,2.5,8,Hybrid,128,1024,AMD,windows,1.9,3811.896,141
73,HP,2 in 1 Convertible,13.3,small,3840,2160,1,1,Intel,Core i5,1.6,8,SSD,256,0,Intel,windows,1.29,7028.296,331
74,Lenovo,2 in 1 Convertible,15.6,medium,1920,1080,1,1,Intel,Core i7,2.8,8,SSD,512,0,Nvidia,windows,2,7966.024,141
75,Dell,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i7,1.8,16,Hybrid,256,2048,AMD,linux,2.02,4918.408,141
76,HP,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i3,2,4,HDD,500,0,Intel,N/A,1.86,1617.528,141
77,Dell,Notebook,17.3,large,1920,1080,0,0,Intel,Core i7,1.8,8,Hybrid,128,1024,AMD,windows,2.8,5354.448,127
78,Lenovo,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i3,2,4,SSD,256,0,Intel,N/A,2.2,2081.728,141
79,HP,Notebook,15.6,medium,1920,1080,1,0,Intel,Core i5,1.6,4,HDD,500,0,Intel,windows,2.1,3385.184,141
80,Dell,Ultrabook,14,medium,1920,1080,0,0,Intel,Core i5,1.6,8,SSD,256,0,Intel,windows,1.7,4121.304,157
81,Dell,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i5,2.5,4,HDD,1024,0,Intel,windows,2.18,3080.44,141
82,Dell,Ultrabook,13.3,small,1920,1080,0,0,Intel,Core i5,1.6,8,SSD,256,0,Intel,windows,1.23,6559.432,166
83,Apple,Ultrabook,15.4,medium,2880,1800,1,0,Intel,Core i7,2.8,16,SSD,256,0,AMD,macos,1.83,11440.176,221
84,Lenovo,2 in 1 Convertible,13.9,small,3840,2160,1,1,Intel,Core i7,1.8,16,SSD,512,0,Intel,windows,1.4,8669.32,317
85,Lenovo,Notebook,14,medium,1920,1080,1,0,Intel,Core i3,2.7,8,SSD,256,0,Intel,N/A,1.7,2808.52,157
86,Dell,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i5,2.5,8,HDD,1024,0,AMD,windows,2.24,2649.064,141
87,Dell,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i3,2,4,SSD,256,0,AMD,windows,2.2,2339.128,141
88,Asus,Notebook,14,medium,1920,1080,0,0,Intel,Core i5,1.6,8,SSD,256,0,Intel,windows,1.4,4411.968,157
89,Apple,Ultrabook,12,small,2304,1440,1,0,Intel,Core M,1.2,8,SSD,256,0,Intel,macos,0.92,5918.968,226
90,Toshiba,Notebook,15.6,medium,1366,768,0,0,Intel,Core i5,2.5,8,SSD,128,0,Intel,windows,2,3718.088,100
91,HP,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i5,2.5,8,SSD,256,0,Intel,windows,1.86,3235.144,141
92,Dell,2 in 1 Convertible,15.6,medium,1920,1080,0,1,Intel,Core i5,1.6,8,SSD,256,0,Intel,windows,2.67,3746.248,141
93,Apple,Ultrabook,13.3,small,2560,1600,1,0,Intel,Core i5,2.3,8,SSD,256,0,Intel,macos,1.37,7119.904,227
94,Asus,2 in 1 Convertible,13.3,small,1920,1080,0,1,Intel,Core i7,1.8,8,SSD,512,512,Intel,windows,4.1,7028.296,166
95,Asus,Ultrabook,15.6,medium,1920,1080,0,0,Intel,Core i7,2.8,16,SSD,512,0,Nvidia,windows,1.8,9297.552,141
96,Xiaomi,Notebook,15.6,medium,1920,1080,1,0,Intel,Core i5,1.6,8,SSD,256,0,Nvidia,N/A,1.95,5621.704,141
97,HP,Notebook,17.3,large,1920,1080,0,0,Intel,Core i7,1.8,8,HDD,1024,0,Nvidia,windows,2.5,4773.032,127
98,HP,Notebook,15.6,medium,1366,768,0,0,Intel,Core i3,2,4,HDD,500,0,AMD,windows,1.86,2056.824,100
99,Lenovo,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i7,1.8,8,SSD,256,0,Intel,windows,2.05,4125.968,141
100,Dell,Notebook,17.3,large,1920,1080,0,1,Intel,Core i7,1.8,16,SSD,512,0,Nvidia,windows,2.77,7262.728,127
101,Dell,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i7,2.7,8,SSD,256,0,AMD,windows,2.2,3493.072,141
102,Dell,Notebook,15.6,medium,3840,2160,0,1,Intel,Core i7,2.8,16,SSD,512,0,Nvidia,windows,2.06,11238.656,282
103,Apple,Ultrabook,13.3,small,2560,1600,1,0,Intel,Core i5,2.9,8,SSD,512,0,Intel,macos,1.37,9184.56,227
104,HP,Notebook,14,medium,1366,768,0,0,Intel,Celeron Dual,1.6,4,SSD,32,0,Intel,windows,1.44,1073.688,112
105,Asus,Gaming,17.3,large,1920,1080,0,0,AMD,Ryzen 1700,3,16,Hybrid,256,1024,AMD,windows,3.2,7262.728,127
106,Apple,Ultrabook,15.4,medium,2880,1800,1,0,Intel,Core i7,2.9,16,SSD,512,0,AMD,macos,1.83,13400.112,221
107,Lenovo,Gaming,15.6,medium,1920,1080,1,0,Intel,Core i5,2.5,8,SSD,256,0,Nvidia,N/A,2.4,3652.44,141
108,Acer,Ultrabook,13.3,small,1920,1080,1,0,Intel,Core i5,1.2,8,SSD,256,0,Intel,windows,1.12,4637.072,166
109,Lenovo,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i5,2.5,4,HDD,1024,0,Intel,windows,1.9,2574.088,141
110,Lenovo,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i3,2.4,8,HDD,1024,0,Nvidia,N/A,2.2,2339.656,141
111,Dell,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i7,1.8,8,SSD,256,0,AMD,linux,2.14,3446.52,141
112,Dell,Notebook,17.3,large,1920,1080,0,0,Intel,Core i7,1.8,8,Hybrid,128,1024,AMD,windows,2.8,5087.192,127
113,Lenovo,2 in 1 Convertible,14,medium,2560,1440,0,1,Intel,Core i7,2.6,16,SSD,512,0,Intel,windows,1.36,11716.936,210
114,Dell,Ultrabook,13.3,small,1920,1080,1,1,Intel,Core i5,1.6,8,SSD,128,0,Intel,windows,1.22,4590.168,166
115,Asus,Gaming,17.3,large,1920,1080,0,0,Intel,Core i7,2.8,12,HDD,1024,0,Nvidia,linux,3,4449.544,127
116,Vero,Notebook,14,medium,1920,1080,1,0,Intel,Celeron Dual,1.1,4,Flash Storage,32,0,Intel,windows,1.3,1219.064,157
117,Toshiba,Notebook,15.6,medium,1366,768,0,0,Intel,Core i7,2.5,8,HDD,500,0,Nvidia,windows,2.2,3807.144,100
118,Xiaomi,Ultrabook,13.3,small,1920,1080,1,0,Intel,Core i5,2.5,8,SSD,256,0,Nvidia,N/A,1.3,4688.2,166
119,Microsoft,Ultrabook,13.5,small,2256,1504,0,1,Intel,Core i5,2.5,4,SSD,128,0,Intel,windows,1.25,5105.936,201
120,Dell,Notebook,15.6,medium,1366,768,0,0,Intel,Core i7,2.7,12,HDD,1024,0,Intel,windows,2.3,3343.296,100
121,Lenovo,Notebook,17.3,large,1600,900,0,0,Intel,Core i5,1.6,8,SSD,256,0,Nvidia,N/A,2.8,3272.632,106
122,Dell,Ultrabook,13.3,small,1920,1080,1,0,Intel,Core i7,1.8,64,SSD,256,0,AMD,windows,1.4,4477.616,166
123,Dell,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i7,1.8,8,SSD,256,0,AMD,windows,2.2,4079.152,141
124,Dell,Notebook,17.3,large,1920,1080,0,0,Intel,Core i7,1.8,8,Hybrid,128,1024,AMD,linux,2.8,5152.84,127
125,Dell,2 in 1 Convertible,13.3,small,1920,1080,1,1,Intel,Core i7,1.8,8,HDD,1024,0,Intel,windows,1.62,3933.776,166
126,Acer,Notebook,15.6,medium,1920,1080,1,0,Intel,Core i7,1.8,8,HDD,1024,0,Nvidia,windows,2.2,3493.072,141
127,HP,Notebook,17.3,large,1920,1080,1,0,Intel,Core i5,1.6,8,HDD,1024,0,Nvidia,windows,2.5,4285.424,127
128,Razer,Gaming,17.3,large,3840,2160,0,1,Intel,Core i7,2.9,32,SSD,1024,0,Nvidia,windows,3.49,28596.04,255
129,MSI,Gaming,17.3,large,1920,1080,0,0,Intel,Core i5,2.5,8,Hybrid,128,1024,Nvidia,windows,2.7,5134.096,127
130,Lenovo,Notebook,17.3,large,1600,900,0,0,Intel,Core i3,2,4,HDD,1024,0,Intel,windows,2.8,2292.752,106
131,Lenovo,Notebook,17.3,large,1920,1080,0,0,Intel,Core i7,1.8,8,HDD,2048,0,Nvidia,N/A,2.8,3980.68,127
132,HP,Notebook,13.3,small,1920,1080,0,0,Intel,Core i5,1.6,8,SSD,512,0,Intel,windows,1.49,4496.448,166
133,Lenovo,Notebook,17.3,large,1600,900,0,0,Intel,Core i7,2.7,6,Hybrid,128,1024,Nvidia,windows,2.8,4027.584,106
134,HP,Gaming,17.3,large,1920,1080,1,0,Intel,Core i7,2.8,16,Hybrid,256,1024,Nvidia,windows,3.35,6465.624,127
135,Acer,Notebook,14,medium,1366,768,0,0,Intel,Core i3,2,8,HDD,1024,0,Intel,windows,2.1,1823.888,112
136,Dell,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i3,2,4,HDD,1024,0,AMD,linux,2.25,2006.752,141
137,Asus,Gaming,15.6,medium,1920,1080,0,0,Intel,Core i7,2.8,8,HDD,1024,0,Nvidia,windows,2.2,4449.544,141
138,Lenovo,Gaming,15.6,medium,1920,1080,1,0,Intel,Core i5,2.5,8,Hybrid,128,1024,Nvidia,windows,2.5,4683.976,141
139,HP,Notebook,17.3,large,1920,1080,0,0,Intel,Core i7,1.8,8,SSD,256,0,Nvidia,windows,2.5,4899.664,127
140,Lenovo,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i5,2.5,8,HDD,2048,0,Intel,N/A,2.2,2433.376,141
141,Lenovo,Gaming,15.6,medium,1920,1080,1,0,Intel,Core i5,2.5,8,SSD,256,0,Nvidia,windows,2.5,3886.872,141
142,Dell,Gaming,15.6,medium,3840,2160,1,0,Intel,Core i7,2.8,16,Hybrid,512,1024,Nvidia,windows,2.65,8650.576,282
143,HP,Notebook,15.6,medium,1366,768,0,0,AMD,E-Series E2-9000e,1.5,4,HDD,500,0,AMD,N/A,1.86,1209.648,100
144,Dell,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i7,1.8,8,Hybrid,128,1024,Intel,windows,2.02,4008.752,141
145,Lenovo,Notebook,15.6,medium,1366,768,0,0,Intel,Core i5,2.3,4,SSD,128,0,Intel,windows,2.1,2311.496,100
146,Lenovo,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i5,2.5,6,SSD,256,0,Intel,windows,2.2,2714.712,141
147,Dell,2 in 1 Convertible,13.3,small,1920,1080,0,1,Intel,Core i5,1.6,8,SSD,256,0,Intel,windows,1.62,3839.968,166
148,Acer,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i7,2.7,8,HDD,1024,0,Nvidia,windows,2.23,3478.992,141
149,Acer,Notebook,15.6,medium,1920,1080,1,0,Intel,Core i7,1.8,8,SSD,256,0,Nvidia,windows,3,4458.872,141
150,Lenovo,Gaming,15.6,medium,1920,1080,1,0,Intel,Core i7,2.8,16,Hybrid,512,1024,Nvidia,windows,3.2,8200.456,141
151,Acer,Notebook,15.6,medium,1920,1080,1,1,Intel,Core i7,2.7,12,HDD,1024,0,Intel,windows,2.15,3089.856,141
152,Acer,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i3,2.7,4,HDD,1024,0,Nvidia,windows,2.2,2484.944,141
153,Dell,Workstation,15.6,medium,3840,2160,0,0,Intel,Xeon E3-1505M,3,16,Hybrid,256,1024,Nvidia,windows,2.8,14323.76,282
154,Lenovo,Notebook,15.6,medium,1920,1080,1,0,Intel,Core i7,2.7,8,SSD,256,0,Intel,windows,1.95,5143.424,141
155,HP,Ultrabook,15.6,medium,1920,1080,0,0,Intel,Core i7,1.8,8,SSD,256,0,Intel,windows,1.91,3089.856,141
156,Asus,Ultrabook,15.6,medium,1920,1080,0,0,Intel,Core i5,2.5,8,SSD,256,0,Nvidia,windows,1.7,4580.84,141
157,HP,Notebook,17.3,large,1920,1080,0,0,Intel,Core i5,1.6,8,Hybrid,128,1024,Nvidia,windows,2.5,4580.84,127
158,Lenovo,Gaming,15.6,medium,1920,1080,0,0,Intel,Core i7,2.8,16,SSD,512,0,Nvidia,N/A,2.4,6554.68,141
159,Dell,Notebook,15.6,medium,1366,768,0,1,Intel,Core i3,2.4,6,HDD,1024,0,Intel,windows,2.3,2058.32,100
160,Dell,Ultrabook,13.3,small,3840,2160,1,1,Intel,Core i7,1.8,8,SSD,256,0,Intel,windows,1.21,9138.184,331
161,Dell,Notebook,15.6,medium,1366,768,0,0,Intel,Core i3,2,4,HDD,1024,0,Intel,windows,2.3,1962.84,100
162,Lenovo,Gaming,15.6,medium,1920,1080,1,0,Intel,Core i7,2.8,16,Hybrid,256,1024,Nvidia,windows,2.5,5527.896,141
163,Dell,Ultrabook,15.6,medium,1920,1080,1,0,Intel,Core i5,1.6,8,SSD,256,0,Intel,windows,1.88,5139.464,141
164,Dell,Ultrabook,13.3,small,1920,1080,0,0,Intel,Core i7,1.8,8,SSD,256,0,Intel,windows,1.22,6793.864,166
165,Lenovo,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i7,2.7,8,HDD,1024,0,Nvidia,N/A,2.2,3089.856,141
166,Apple,Ultrabook,13.3,small,1440,900,0,0,Intel,Core i5,1.6,8,Flash Storage,128,0,Intel,macos,1.35,5152.84,128
167,Apple,Ultrabook,12,small,2304,1440,1,0,Intel,Core i5,1.3,8,SSD,512,0,Intel,macos,0.92,7079.864,226
168,Dell,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i5,1.6,8,SSD,256,0,AMD,windows,2.2,3750.912,141
169,HP,Notebook,14,medium,1920,1080,0,0,Intel,Core i5,1.6,8,SSD,256,0,Intel,windows,1.63,4032.248,157
170,Acer,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i7,2.8,8,HDD,1024,0,Nvidia,linux,2.4,3652.44,141
171,Acer,Notebook,15.6,medium,1366,768,0,0,Intel,Celeron Dual,1.5,2,SSD,16,0,Intel,other,2.19,933.064,100
172,Asus,Gaming,17.3,large,1920,1080,0,0,Intel,Core i7,2.8,16,Hybrid,256,1024,Nvidia,windows,2.9,6596.92,127
173,Dell,Ultrabook,15.6,medium,1920,1080,0,0,Intel,Core i7,1.9,8,SSD,256,256,Intel,windows,1.88,6085.816,141
174,Asus,Gaming,17.3,large,1920,1080,0,0,Intel,Core i7,2.8,8,HDD,1024,0,Nvidia,windows,3,5565.384,127
175,HP,Notebook,17.3,large,1600,900,0,0,Intel,Core i3,2,8,HDD,1024,0,Intel,windows,2.54,2292.752,106
176,HP,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i3,2,4,HDD,500,0,Intel,N/A,2.1,1636.36,141
177,Lenovo,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i5,2.5,8,SSD,256,0,Intel,N/A,2.2,2574.088,141
178,HP,Notebook,17.3,large,1920,1080,0,0,Intel,Core i5,1.6,8,HDD,1024,0,Nvidia,windows,2.5,4201.032,127
179,Huawei,Ultrabook,13,small,2160,1440,1,0,Intel,Core i7,2.7,8,SSD,512,0,Intel,windows,1.05,7028.296,200
180,Dell,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i7,2.8,8,SSD,256,0,Nvidia,windows,2,8575.512,141
181,Chuwi,Notebook,15.6,medium,1920,1080,0,0,Intel,Atom x5-Z8300,1.4,4,Flash Storage,64,0,Intel,windows,1.89,1148.664,141
182,Dell,Ultrabook,13.3,small,1920,1080,1,0,Intel,Core i7,1.8,8,SSD,256,0,AMD,windows,1.4,4369.288,166
183,Lenovo,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i5,1.6,8,SSD,256,0,Intel,windows,2.05,3464.912,141
184,Lenovo,Gaming,15.6,medium,1920,1080,1,0,Intel,Core i7,2.8,8,HDD,1024,0,Nvidia,windows,3.2,6090.568,141
185,Asus,Notebook,14,medium,1366,768,0,0,AMD,E-Series E2-6110,1.5,2,Flash Storage,32,0,AMD,windows,1.65,933.064,112
186,Lenovo,Notebook,17.3,large,1600,900,0,0,Intel,Core i5,2.5,8,HDD,1024,0,Nvidia,N/A,2.8,2761.616,106
187,Acer,Notebook,15.6,medium,1920,1080,0,0,Intel,Core i7,2.8,8,SSD,256,0,Nvidia,linux,2.5,4590.168,141
188,HP,Notebook,17.3,large,1920,1080,0,0,AMD,A6-Series 9220,2.5,4,HDD,500,0,AMD,windows,2.71,2058.32,127
189,HP,Notebook,14,medium,1920,1080,0,0,Intel,Core i7,1.8,8,SSD,256,0,Nvidia,windows,1.63,4834.016,157
190,Dell,Workstation,17.3,large,1920,1080,0,0,Intel,Core i7,2.9,16,SSD,256,0,Nvidia,windows,3.42,13526.04,127
191,Dell,Ultrabook,13.3,small,3200,1800,0,1,Intel,Core i7,1.8,16,SSD,512,0,Intel,windows,1.2,8763.04,276
192,Lenovo,Notebook,15.6,medium,1920,1080,0,0,AMD,A10-Series 9600P,2.4,6,HDD,1024,0,AMD,windows,2.4,2339.656,141
193,Apple,Ultrabook,13.3,small,1440,900,0,0,Intel,Core i5,1.6,8,Flash Storage,256,0,Intel,macos,1.35,4679.224,128
194,Asus,Ultrabook,15.6,medium,1920,1080,0,0,Intel,Core i7,2.7,16,SSD,512,0,Nvidia,windows,1.63,6882.92,141
